SERIES;TIME;VALUE
heavy_pages_ap-southeast-1;21-06-2023T06:00;0.34660401492648657
heavy_pages_ap-southeast-1;21-06-2023T12:00;0.3536667192247179
heavy_pages_ap-southeast-1;21-06-2023T18:00;0.3435264290703668
heavy_pages_ap-southeast-1;21-06-2023T18:00;0.3536667192247179
heavy_pages_ap-southeast-1;22-06-2023T12:00;0.34645249303181963
heavy_pages_ap-southeast-1;22-06-2023T06:00;0.31613872358534073
heavy_pages_ap-southeast-1;22-06-2023T12:00;0.3300238927205404
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.3327596418592665
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.1478571268717448
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.27920062001546225
heavy_pages_ap-southeast-1;22-06-2023T18:00;0.27917638905843106
heavy_pages_ap-southeast-1;22-06-2023T24:00;0.3338527204725478
heavy_pages_eu-west-1;21-06-2023T06:00;0.3365176247490777
heavy_pages_eu-west-1;21-06-2023T12:00;0.3497585906982422
heavy_pages_eu-west-1;21-06-2023T18:00;0.2898574523925781
heavy_pages_eu-west-1;21-06-2023T18:00;0.28565948571099176
heavy_pages_eu-west-1;22-06-2023T12:00;0.29693554772271047
heavy_pages_eu-west-1;22-06-2023T06:00;0.3111603113810222
heavy_pages_eu-west-1;22-06-2023T12:00;0.2898574523925781
heavy_pages_eu-west-1;22-06-2023T18:00;0.33312708791097007
heavy_pages_eu-west-1;22-06-2023T18:00;0.3655067494710287
heavy_pages_eu-west-1;22-06-2023T18:00;0.28568680742051866
heavy_pages_eu-west-1;22-06-2023T18:00;0.2984275037977431
heavy_pages_eu-west-1;22-06-2023T24:00;0.31773674986097544
heavy_pages_us-east-1;20-06-2023T18:00;0.29496715545654295
heavy_pages_us-east-1;20-06-2023T18:00;0.1911433826022678
heavy_pages_us-east-1;21-06-2023T06:00;0.3581724082099067
heavy_pages_us-east-1;21-06-2023T12:00;0.3536667192247179
heavy_pages_us-east-1;21-06-2023T18:00;0.34876880815294053
heavy_pages_us-east-1;21-06-2023T18:00;0.3386311730278863
heavy_pages_us-east-1;21-06-2023T18:00;0.34876880815294053
heavy_pages_us-east-1;22-06-2023T12:00;0.28565948571099176
heavy_pages_us-east-1;22-06-2023T12:00;0.31561176300048827
heavy_pages_us-east-1;22-06-2023T06:00;0.29693554772271047
heavy_pages_us-east-1;22-06-2023T06:00;0.3300238927205404
heavy_pages_us-east-1;22-06-2023T12:00;0.3300238927205404
heavy_pages_us-east-1;22-06-2023T12:00;0.34722770182291673
heavy_pages_us-east-1;22-06-2023T18:00;0.29496715545654295
heavy_pages_us-east-1;22-06-2023T18:00;0.27917638905843106
heavy_pages_us-east-1;22-06-2023T18:00;0.27917638905843106
heavy_pages_us-east-1;22-06-2023T18:00;0.3192341249254015
heavy_pages_us-east-1;22-06-2023T18:00;0.35820154062906906
heavy_pages_us-east-1;22-06-2023T24:00;0.3281658935546875
heavy_vercel_ap-southeast-1;21-06-2023T06:00;0.34883375676472983
heavy_vercel_ap-southeast-1;21-06-2023T12:00;0.13237640126546224
