SERIES;TIME;VALUE
simple_vercel_us-east-1;20-06-2023T18:00;0.86
simple_vercel_us-east-1;21-06-2023T06:00;0.86
simple_vercel_us-east-1;21-06-2023T12:00;0.86
simple_vercel_us-east-1;21-06-2023T18:00;0.86
simple_vercel_us-east-1;21-06-2023T18:00;0.68
simple_vercel_us-east-1;21-06-2023T18:00;0.86
simple_vercel_us-east-1;22-06-2023T12:00;0.86
simple_vercel_us-east-1;22-06-2023T12:00;0.86
simple_vercel_us-east-1;22-06-2023T06:00;0.86
simple_vercel_us-east-1;22-06-2023T06:00;0.86
simple_vercel_us-east-1;22-06-2023T12:00;0.86
simple_vercel_us-east-1;22-06-2023T12:00;0.85
simple_vercel_us-east-1;22-06-2023T18:00;0.86
simple_vercel_us-east-1;22-06-2023T18:00;0.86
simple_vercel_us-east-1;22-06-2023T18:00;0.86
simple_vercel_us-east-1;22-06-2023T18:00;0.86
simple_vercel_us-east-1;22-06-2023T18:00;0.86
simple_vercel_us-east-1;22-06-2023T24:00;0.65
