SERIES;TIME;VALUE
simple_vercel_ap-southeast-1;21-06-2023T18:00;66
simple_vercel_ap-southeast-1;22-06-2023T12:00;56
simple_vercel_ap-southeast-1;22-06-2023T06:00;58
simple_vercel_ap-southeast-1;22-06-2023T12:00;72
simple_vercel_ap-southeast-1;22-06-2023T18:00;59
simple_vercel_ap-southeast-1;22-06-2023T18:00;58
simple_vercel_ap-southeast-1;22-06-2023T18:00;56
simple_vercel_eu-west-1;21-06-2023T06:00;58
simple_vercel_eu-west-1;21-06-2023T12:00;69
simple_vercel_eu-west-1;21-06-2023T18:00;66
simple_vercel_eu-west-1;21-06-2023T18:00;72
simple_vercel_eu-west-1;22-06-2023T12:00;67
simple_vercel_eu-west-1;22-06-2023T06:00;66
simple_vercel_eu-west-1;22-06-2023T12:00;66
simple_vercel_eu-west-1;22-06-2023T18:00;66
simple_vercel_eu-west-1;22-06-2023T18:00;64
simple_vercel_eu-west-1;22-06-2023T18:00;68
simple_vercel_us-east-1;20-06-2023T18:00;106
simple_vercel_us-east-1;20-06-2023T18:00;70
simple_vercel_us-east-1;21-06-2023T06:00;98
simple_vercel_us-east-1;21-06-2023T12:00;97
simple_vercel_us-east-1;21-06-2023T18:00;65
simple_vercel_us-east-1;21-06-2023T18:00;67
simple_vercel_us-east-1;21-06-2023T18:00;66
simple_vercel_us-east-1;22-06-2023T12:00;66
simple_vercel_us-east-1;22-06-2023T12:00;66
simple_vercel_us-east-1;22-06-2023T06:00;69
simple_vercel_us-east-1;22-06-2023T06:00;56
simple_vercel_us-east-1;22-06-2023T12:00;98
simple_vercel_us-east-1;22-06-2023T12:00;67
simple_vercel_us-east-1;22-06-2023T18:00;58
simple_vercel_us-east-1;22-06-2023T18:00;73
simple_vercel_us-east-1;22-06-2023T18:00;67
