x,y,value
simple_vercel_us-east-1,15-06-2023T18:00,1740.0713245414001
simple_vercel_us-east-1,15-06-2023T24:00,8674.238940295421
simple_vercel_eu-west-1,15-06-2023T06:00,4949.043563941904
simple_vercel_eu-west-1,15-06-2023T12:00,993.420456526956
simple_vercel_eu-west-1,15-06-2023T18:00,3113.992438161771
simple_vercel_eu-west-1,15-06-2023T24:00,6533.633844383157
simple_pages_ap-southeast-1,15-06-2023T06:00,9245.658617942598
simple_pages_ap-southeast-1,15-06-2023T12:00,1411.6838706240583
simple_pages_ap-southeast-1,15-06-2023T18:00,5756.871960713452
simple_pages_ap-southeast-1,15-06-2023T24:00,7946.477503168665
simple_pages_us-east-1,15-06-2023T06:00,6413.909126583407
simple_pages_us-east-1,15-06-2023T12:00,9827.210717018988
simple_pages_us-east-1,15-06-2023T18:00,5598.570730030893
simple_pages_us-east-1,15-06-2023T24:00,7405.947779938861
simple_pages_eu-west-1,15-06-2023T06:00,5532.822644885091
simple_pages_eu-west-1,15-06-2023T12:00,142.83560492570518
simple_pages_eu-west-1,15-06-2023T18:00,4042.1891863003766
simple_pages_eu-west-1,15-06-2023T24:00,6123.83397959652
heavy_vercel_ap-southeast-1,16-06-2023T06:00,3570.0454922574154
heavy_vercel_ap-southeast-1,16-06-2023T12:00,6750.926118095293
heavy_vercel_ap-southeast-1,16-06-2023T18:00,2616.6572391776344
heavy_vercel_ap-southeast-1,16-06-2023T24:00,4720.075542046863
heavy_vercel_us-east-1,16-06-2023T06:00,8998.708783659316
heavy_vercel_us-east-1,16-06-2023T12:00,3279.196479288985
heavy_vercel_us-east-1,16-06-2023T18:00,5295.836945086417
heavy_vercel_us-east-1,16-06-2023T24:00,6655.425446213422
heavy_vercel_eu-west-1,16-06-2023T06:00,4046.55908489704
heavy_vercel_eu-west-1,16-06-2023T12:00,2922.9486573922213
heavy_vercel_eu-west-1,16-06-2023T18:00,574.6806287574032
heavy_vercel_eu-west-1,16-06-2023T24:00,4744.667792265913
heavy_pages_ap-southeast-1,16-06-2023T06:00,939.2382013795758
heavy_pages_ap-southeast-1,16-06-2023T12:00,1562.603924997292
heavy_pages_ap-southeast-1,16-06-2023T18:00,6174.274320301119
heavy_pages_ap-southeast-1,16-06-2023T24:00,9788.338140842621
heavy_pages_us-east-1,16-06-2023T06:00,2653.773725344401
heavy_pages_us-east-1,16-06-2023T12:00,3710.1212176296476
heavy_pages_us-east-1,16-06-2023T18:00,2931.247542633538
heavy_pages_us-east-1,16-06-2023T24:00,3106.433251121136
heavy_pages_eu-west-1,16-06-2023T06:00,9481.429727693008
heavy_pages_eu-west-1,16-06-2023T12:00,6655.324203206848
heavy_pages_eu-west-1,16-06-2023T18:00,8663.79008654497
heavy_pages_eu-west-1,16-06-2023T24:00,1346.600821514931
simple_vercel_ap-southeast-1,16-06-2023T06:00,8842.316986500771
simple_vercel_ap-southeast-1,16-06-2023T12:00,6735.145839404538
simple_vercel_ap-southeast-1,16-06-2023T18:00,7808.56615839394
simple_vercel_ap-southeast-1,16-06-2023T24:00,4567.019822948695
simple_vercel_us-east-1,16-06-2023T06:00,3008.819653025951
simple_vercel_us-east-1,16-06-2023T12:00,3737.212753786209
simple_vercel_us-east-1,16-06-2023T18:00,4262.424982493371
simple_vercel_us-east-1,16-06-2023T24:00,3495.2264478498228
simple_vercel_eu-west-1,16-06-2023T06:00,5820.8741341435525
simple_vercel_eu-west-1,16-06-2023T12:00,3232.6970845477604
simple_vercel_eu-west-1,16-06-2023T18:00,1466.661709850447
simple_vercel_eu-west-1,16-06-2023T24:00,6765.667294821923
simple_pages_ap-southeast-1,16-06-2023T06:00,7753.034996600506
simple_pages_ap-southeast-1,16-06-2023T12:00,4116.103622691504
simple_pages_ap-southeast-1,16-06-2023T18:00,959.5649505457877
simple_pages_ap-southeast-1,16-06-2023T24:00,4422.901504551176
simple_pages_us-east-1,16-06-2023T06:00,4984.991998886509
simple_pages_us-east-1,16-06-2023T12:00,6156.893611261639
simple_pages_us-east-1,16-06-2023T18:00,7355.812412646799
simple_pages_us-east-1,16-06-2023T24:00,1777.0894649715963
simple_pages_eu-west-1,16-06-2023T06:00,1706.265174800007
simple_pages_eu-west-1,16-06-2023T12:00,6280.468695877167
simple_pages_eu-west-1,16-06-2023T18:00,1805.5129377659234
simple_pages_eu-west-1,16-06-2023T24:00,7868.010930014327
heavy_vercel_ap-southeast-1,17-06-2023T06:00,145.08042574799737
heavy_vercel_ap-southeast-1,17-06-2023T12:00,1220.849995905348
heavy_vercel_ap-southeast-1,17-06-2023T18:00,9373.048194275223
heavy_vercel_ap-southeast-1,17-06-2023T24:00,985.1630523272255
heavy_vercel_us-east-1,17-06-2023T06:00,3081.1416129278973
heavy_vercel_us-east-1,17-06-2023T12:00,8046.085870424687
heavy_vercel_us-east-1,17-06-2023T18:00,9550.674085044991
heavy_vercel_us-east-1,17-06-2023T24:00,2893.5585086587384
heavy_vercel_eu-west-1,17-06-2023T06:00,2127.345258976464
heavy_vercel_eu-west-1,17-06-2023T12:00,6819.086902556084
heavy_vercel_eu-west-1,17-06-2023T18:00,2644.3677093029846
heavy_vercel_eu-west-1,17-06-2023T24:00,8310.428716740478
heavy_pages_ap-southeast-1,17-06-2023T06:00,6300.817052431801
heavy_pages_ap-southeast-1,17-06-2023T12:00,9939.671203688587
heavy_pages_ap-southeast-1,17-06-2023T18:00,3105.945700306787
heavy_pages_ap-southeast-1,17-06-2023T24:00,1229.9550006558766
heavy_pages_us-east-1,17-06-2023T06:00,112.97271360868913
heavy_pages_us-east-1,17-06-2023T12:00,4097.317673802605
heavy_pages_us-east-1,17-06-2023T18:00,9745.90886626035
heavy_pages_us-east-1,17-06-2023T24:00,9537.732817019305
heavy_pages_eu-west-1,17-06-2023T06:00,4263.811784922787
heavy_pages_eu-west-1,17-06-2023T12:00,5150.261683666085
heavy_pages_eu-west-1,17-06-2023T18:00,1513.3871921627199
heavy_pages_eu-west-1,17-06-2023T24:00,2671.2980723917312
simple_vercel_ap-southeast-1,17-06-2023T06:00,9689.58028141301
simple_vercel_ap-southeast-1,17-06-2023T12:00,1337.2790268168412
simple_vercel_ap-southeast-1,17-06-2023T18:00,493.1176367983035
simple_vercel_ap-southeast-1,17-06-2023T24:00,9066.048686873075
simple_vercel_us-east-1,17-06-2023T06:00,3499.513259246061
simple_vercel_us-east-1,17-06-2023T12:00,8873.596875446763
simple_vercel_us-east-1,17-06-2023T18:00,2575.549655973493
simple_vercel_us-east-1,17-06-2023T24:00,2830.97375997084
simple_vercel_eu-west-1,17-06-2023T06:00,2224.2143055688916
simple_vercel_eu-west-1,17-06-2023T12:00,5697.844008794502
simple_vercel_eu-west-1,17-06-2023T18:00,3654.5922301356395
simple_vercel_eu-west-1,17-06-2023T24:00,7046.435303550237
simple_pages_ap-southeast-1,17-06-2023T06:00,2782.7791647027084
simple_pages_ap-southeast-1,17-06-2023T12:00,1235.1924553466465
simple_pages_ap-southeast-1,17-06-2023T18:00,8814.271916946398
simple_pages_ap-southeast-1,17-06-2023T24:00,4031.035230774413
simple_pages_us-east-1,17-06-2023T06:00,5071.075718105989
simple_pages_us-east-1,17-06-2023T12:00,2073.273993871523
simple_pages_us-east-1,17-06-2023T18:00,3974.297889600037
simple_pages_us-east-1,17-06-2023T24:00,1688.7218866504986
simple_pages_eu-west-1,17-06-2023T06:00,8233.161317876496
simple_pages_eu-west-1,17-06-2023T12:00,3767.3262032190455
simple_pages_eu-west-1,17-06-2023T18:00,9891.53366277185
simple_pages_eu-west-1,17-06-2023T24:00,1224.6977396283914
heavy_vercel_ap-southeast-1,18-06-2023T06:00,1858.1242987972498
heavy_vercel_ap-southeast-1,18-06-2023T12:00,9498.423633318009
heavy_vercel_ap-southeast-1,18-06-2023T18:00,4616.59700605479
heavy_vercel_ap-southeast-1,18-06-2023T24:00,9736.63408469234
heavy_vercel_us-east-1,18-06-2023T06:00,6674.800683527496
heavy_vercel_us-east-1,18-06-2023T12:00,4340.359931478901
heavy_vercel_us-east-1,18-06-2023T18:00,521.7300330256489
heavy_vercel_us-east-1,18-06-2023T24:00,1797.1078952186797
heavy_vercel_eu-west-1,18-06-2023T06:00,8279.587404878635
heavy_vercel_eu-west-1,18-06-2023T12:00,7685.345213648064
heavy_vercel_eu-west-1,18-06-2023T18:00,7625.430200830421
heavy_vercel_eu-west-1,18-06-2023T24:00,677.8592865586393
heavy_pages_ap-southeast-1,18-06-2023T06:00,3401.822811849804
heavy_pages_ap-southeast-1,18-06-2023T12:00,4713.045555731787
heavy_pages_ap-southeast-1,18-06-2023T18:00,56.87025254701172
heavy_pages_ap-southeast-1,18-06-2023T24:00,5510.834619951686
heavy_pages_us-east-1,18-06-2023T06:00,849.4241277343459
heavy_pages_us-east-1,18-06-2023T12:00,7713.030789478087
heavy_pages_us-east-1,18-06-2023T18:00,546.5503626305099
heavy_pages_us-east-1,18-06-2023T24:00,4738.948696452651
heavy_pages_eu-west-1,18-06-2023T06:00,429.95346894376206
heavy_pages_eu-west-1,18-06-2023T12:00,5464.0461972168205
heavy_pages_eu-west-1,18-06-2023T18:00,7964.961481614972
heavy_pages_eu-west-1,18-06-2023T24:00,380.61023561858775
simple_vercel_ap-southeast-1,18-06-2023T06:00,2816.604874608428
simple_vercel_ap-southeast-1,18-06-2023T12:00,9311.594614973807
simple_vercel_ap-southeast-1,18-06-2023T18:00,6252.429508398409
simple_vercel_ap-southeast-1,18-06-2023T24:00,5598.189214953588
simple_vercel_us-east-1,18-06-2023T06:00,767.8205069537534
simple_vercel_us-east-1,18-06-2023T12:00,6175.965111775726
simple_vercel_us-east-1,18-06-2023T18:00,4895.5141613510295
simple_vercel_us-east-1,18-06-2023T24:00,7979.294221121698
simple_vercel_eu-west-1,18-06-2023T06:00,7237.07358095717
simple_vercel_eu-west-1,18-06-2023T12:00,4836.337047424821
simple_vercel_eu-west-1,18-06-2023T18:00,5128.309118591863
simple_vercel_eu-west-1,18-06-2023T24:00,9563.01024479228
simple_pages_ap-southeast-1,18-06-2023T06:00,5500.608021055851
simple_pages_ap-southeast-1,18-06-2023T12:00,2109.0848149615035
simple_pages_ap-southeast-1,18-06-2023T18:00,2800.047530072351
simple_pages_ap-southeast-1,18-06-2023T24:00,3892.4296943863055
simple_pages_us-east-1,18-06-2023T06:00,4933.372119622904
simple_pages_us-east-1,18-06-2023T12:00,2942.1569282504333
simple_pages_us-east-1,18-06-2023T18:00,8360.129303680304
simple_pages_us-east-1,18-06-2023T24:00,5260.915630872113
simple_pages_eu-west-1,18-06-2023T06:00,1944.226572389469
simple_pages_eu-west-1,18-06-2023T12:00,6822.181179698452
simple_pages_eu-west-1,18-06-2023T18:00,6489.1122926907965
simple_pages_eu-west-1,18-06-2023T24:00,4744.7190197478285
heavy_vercel_ap-southeast-1,19-06-2023T06:00,8051.996835310259
heavy_vercel_ap-southeast-1,19-06-2023T12:00,8823.45686702935
heavy_vercel_ap-southeast-1,19-06-2023T18:00,9510.984441634797
heavy_vercel_ap-southeast-1,19-06-2023T24:00,7646.10623200351
heavy_vercel_us-east-1,19-06-2023T06:00,7033.204886258084
heavy_vercel_us-east-1,19-06-2023T12:00,6406.445560488153
heavy_vercel_us-east-1,19-06-2023T18:00,386.0107722378856
heavy_vercel_us-east-1,19-06-2023T24:00,7941.089666151246
heavy_vercel_eu-west-1,19-06-2023T06:00,8008.106838268282
heavy_vercel_eu-west-1,19-06-2023T12:00,1167.9510704179731
heavy_vercel_eu-west-1,19-06-2023T18:00,5286.488914687501
heavy_vercel_eu-west-1,19-06-2023T24:00,5529.6046422395875
heavy_pages_ap-southeast-1,19-06-2023T06:00,5717.212936544142
heavy_pages_ap-southeast-1,19-06-2023T12:00,7716.667034727015
heavy_pages_ap-southeast-1,19-06-2023T18:00,9232.680317765913
heavy_pages_ap-southeast-1,19-06-2023T24:00,5744.490717230768
heavy_pages_us-east-1,19-06-2023T06:00,5120.896384577696
heavy_pages_us-east-1,19-06-2023T12:00,6407.698398507815
heavy_pages_us-east-1,19-06-2023T18:00,9590.951450595654
heavy_pages_us-east-1,19-06-2023T24:00,7335.289977725442
heavy_pages_eu-west-1,19-06-2023T06:00,1226.6780696889573
heavy_pages_eu-west-1,19-06-2023T12:00,6037.727962386289
heavy_pages_eu-west-1,19-06-2023T18:00,9555.2817973207
heavy_pages_eu-west-1,19-06-2023T24:00,3938.91937495693
simple_vercel_ap-southeast-1,19-06-2023T06:00,5989.788297989244
simple_vercel_ap-southeast-1,19-06-2023T12:00,5206.901380517129
simple_vercel_ap-southeast-1,19-06-2023T18:00,1241.584332358862
simple_vercel_ap-southeast-1,19-06-2023T24:00,3268.5122950872187
simple_vercel_us-east-1,19-06-2023T06:00,5587.094612670265
simple_vercel_us-east-1,19-06-2023T12:00,4568.910048052818
simple_vercel_us-east-1,19-06-2023T18:00,9487.885595106221
simple_vercel_us-east-1,19-06-2023T24:00,1274.2705383265536
simple_vercel_eu-west-1,19-06-2023T06:00,2698.787616818979
simple_vercel_eu-west-1,19-06-2023T12:00,9231.261367234207
simple_vercel_eu-west-1,19-06-2023T18:00,2575.133488509389
simple_vercel_eu-west-1,19-06-2023T24:00,7422.850982594435
simple_pages_ap-southeast-1,19-06-2023T06:00,349.2437357485537
simple_pages_ap-southeast-1,19-06-2023T12:00,4750.783983838136
simple_pages_ap-southeast-1,19-06-2023T18:00,6960.030618396393
simple_pages_ap-southeast-1,19-06-2023T24:00,4465.836912913423
simple_pages_us-east-1,19-06-2023T06:00,2465.7835943907285
simple_pages_us-east-1,19-06-2023T12:00,1777.1562608410306
simple_pages_us-east-1,19-06-2023T18:00,5639.882254465451
simple_pages_us-east-1,19-06-2023T24:00,2497.1149072372677
simple_pages_eu-west-1,19-06-2023T06:00,2962.3074212749248
simple_pages_eu-west-1,19-06-2023T12:00,9914.897168102487
simple_pages_eu-west-1,19-06-2023T18:00,9069.474036875105
simple_pages_eu-west-1,19-06-2023T24:00,7765.54769048769
heavy_vercel_ap-southeast-1,20-06-2023T06:00,6927.122028372275
heavy_vercel_ap-southeast-1,20-06-2023T12:00,7187.080618161996
heavy_vercel_ap-southeast-1,20-06-2023T18:00,5582.884931844682
heavy_vercel_ap-southeast-1,20-06-2023T24:00,116.32376997520626
heavy_vercel_us-east-1,20-06-2023T06:00,7785.810570294942
heavy_vercel_us-east-1,20-06-2023T12:00,7635.191145393663
heavy_vercel_us-east-1,20-06-2023T24:00,6414.616431798916
heavy_vercel_eu-west-1,20-06-2023T06:00,5085.607578822392
heavy_vercel_eu-west-1,20-06-2023T12:00,8364.57708658691
heavy_vercel_eu-west-1,20-06-2023T18:00,3689.0606738890892
heavy_vercel_eu-west-1,20-06-2023T24:00,4471.521288808804
heavy_pages_ap-southeast-1,20-06-2023T06:00,7352.8669469354345
heavy_pages_ap-southeast-1,20-06-2023T12:00,7067.483573426986
heavy_pages_ap-southeast-1,20-06-2023T18:00,1561.0034689216232
